;Term;Occurrences;Stopword
abattent;abattent;1;
abime;abime;1;
abimer;abimer;1;
abord;abord;1;
abrite;abrite;1;
absence;absence;7;
accessibles;accessibles;1;
accomplir;accomplir;1;
action;action;2;
activité;activité;1;
activités;activité;;
actualité;actualité;1;
actuel;actuel;2;
actuelle;actuel;3;
actuellement;actuel;5;
actuels;actuel;2;
adapté;adapté;1;
adéquation;adéquation;1;
aération;aération;1;
affectif;affectif;3;
agace;agace;1;
agissent;agissent;1;
agit;agit;1;
agréable;agréable;82;
agréables;agréable;14;
agrément;agrément;6;
agression;agression;3;
agressions;agressions;2;
agricoles;agricoles;1;
agriculteur;agriculteur;2;
aime;aime;8;
ainsi;ainsi;1;
air;air;246;
alentour;alentours;3;
alentours;alentours;62;
alimentation;alimentation;1;
allemagne;allemagne;1;
aller;aller;3;
allergie;allergie;1;
alors;alors;1;
alphatiques;alphatiques;1;
amabilité;amabilité;2;
ambiance;ambiance;8;
améliorer;améliorer;5;
aménage;aménage;1;
aménagement;aménagement;10;
aménagements;aménagements;1;
amical;amical;2;
amis;amis;49;
amitié;amis;4;
amour;amour;3;
angoisse;angoisse;1;
animale;animaux;2;
animation;animaux;3;
animaux;animaux;68;
annecy;annecy;2;
antipollution;antipollution;2;
anture;nature;2;
appartient;appartient;1;
apport;apport;1;
arabes;arabes;1;
arbre;arbres;6;
arbres;arbre;131;
architectural;architecture;2;
architecture;architecture;7;
architectures;architecture;2;
argent;argent;1;
argument;argument;1;
armonieux;armonieux;1;
artifficiellement;artifficiellement;1;
aspect;aspect;7;
aspects;aspects;2;
assez;assez;5;
atificielles;artificielles;1;
atmosphère;atmosphère;13;
atmosphérique;atmosphérique;2;
attaquée;attaquée;1;
atteindre;atteindre;1;
attention;attention;9;
auditives;auditives;1;
aussi;aussi;13;
autorités;autorités;1;
autoroute;autoroute;2;
autour;autour;454;
autre;autre;3;
autres;autres;16;
autrui;autrui;4;
avantages;avantages;2;
avenir;avenir;17;
avoir;avoir;20;
baignade;baignade;1;
baigne;baigne;2;
